epoch,i,tr_recon_loss,val_recon_loss,tr_total_loss,val_total_loss,tr_stimu_loss,val_stimu_loss
0,10,0.14140872210264205,0.13685761392116547,0.24932326674461364,0.23820585012435913,0.50112384557724,0.47468507289886475
0,20,0.05420282557606697,0.08614111691713333,0.12151025384664535,0.13513337075710297,0.2785609170794487,0.24944862723350525
0,30,0.03709572181105614,0.08508902788162231,0.06970278024673462,0.09068957716226578,0.14578591138124466,0.10375753045082092
0,40,0.03411713764071465,0.08168385922908783,0.05027613937854767,0.08005289733409882,0.08798047453165055,0.07624731957912445
0,50,0.05067787580192089,0.054245252162218094,0.06566522531211376,0.0631154254078865,0.10063570514321327,0.08381249010562897
0,60,0.036449901014566424,0.04470527917146683,0.046930911391973494,0.04755077883601189,0.07138660177588463,0.05419028177857399
1,10,0.029007171746343374,0.03325236588716507,0.040451385701696076,0.044404760003089905,0.06715455154577891,0.07042701542377472
1,20,0.02565026618540287,0.043621256947517395,0.03726002424955368,0.04198135435581207,0.06434945575892925,0.03815491870045662
1,30,0.022204243578016758,0.02779732272028923,0.0329993762075901,0.03384186699986458,0.05818801745772362,0.04794580489397049
1,40,0.021255085431039333,0.04986518248915672,0.029898368939757346,0.049498073756694794,0.05006602965295315,0.04864148050546646
1,50,0.047265328094363214,0.047047026455402374,0.06106837689876556,0.06402219831943512,0.09327548518776893,0.1036309227347374
1,60,0.037082995660603045,0.038466304540634155,0.051632149145007133,0.05371978133916855,0.08558017238974572,0.08931122720241547
2,10,0.025792965820680063,0.030457615852355957,0.03760011835644642,0.044457294046878815,0.06515014016379912,0.07712320983409882
2,20,0.02489312309771776,0.02669408544898033,0.040586677938699724,0.041284747421741486,0.07720496878027916,0.07532962411642075
2,30,0.01713134190067649,0.017959732562303543,0.03358658142387867,0.03732207044959068,0.0719821386039257,0.08250086009502411
2,40,0.02838084436953068,0.057378947734832764,0.036668276973068716,0.07178638875484467,0.05600561685860157,0.10540375113487244
2,50,0.021187697257846593,0.06213444471359253,0.032405052334070206,0.06641849130392075,0.0585788793861866,0.07641460001468658
2,60,0.021583049092441797,0.0651528388261795,0.028131763450801373,0.055143021047115326,0.043412096425890924,0.03178677707910538
3,10,0.023500204319134355,0.029796767979860306,0.03327079629525542,0.04177669808268547,0.056068843230605125,0.06972987204790115
3,20,0.02630310971289873,0.04307222738862038,0.034262945502996446,0.055392127484083176,0.052835896238684656,0.08413855731487274
3,30,0.018877007346600295,0.017936408519744873,0.031069344095885753,0.03320707380771637,0.05951812751591205,0.06883863359689713
3,40,0.01364263342693448,0.01732722483575344,0.025509042106568812,0.03187689557671547,0.053197328373789786,0.06582612544298172
3,50,0.012443143781274557,0.013501941226422787,0.024982463754713535,0.028239816427230835,0.05424087382853031,0.06262819468975067
3,60,0.011768779624253512,0.013227283954620361,0.024596837908029558,0.027558177709579468,0.05452897250652313,0.060996927320957184
4,10,0.011665576525653401,0.012620395980775356,0.0235626008361578,0.02708939090371132,0.051322322338819504,0.06085038185119629
4,20,0.011403731070458889,0.0147643331438303,0.024152207747101785,0.02742636948823929,0.05389865227043629,0.056971121579408646
4,30,0.011493449471890927,0.013403676450252533,0.022733032144606112,0.02597980946302414,0.0489587239921093,0.055324118584394455
4,40,0.011708512902259827,0.011592211201786995,0.021880819089710714,0.024646509438753128,0.04561619870364666,0.05510653927922249
4,50,0.011740961857140065,0.01588594540953636,0.022511773742735386,0.02652445062994957,0.04764366596937179,0.05134762451052666
4,60,0.011794718820601702,0.010797782801091671,0.022538440488278865,0.024111047387123108,0.047607123106718066,0.055175330489873886
5,10,0.010008374073853096,0.01222849078476429,0.021209176785002153,0.024861279875040054,0.04734438036878904,0.05433778092265129
5,20,0.011275067925453186,0.010927306488156319,0.022677814587950706,0.025026218965649605,0.04928422197699547,0.057923682034015656
5,30,0.009999183937907219,0.011364995501935482,0.022632412798702716,0.025361355394124985,0.05210994444787502,0.058019526302814484
5,40,0.010919231548905372,0.010265758261084557,0.02287522181868553,0.025479283183813095,0.05077253095805645,0.060977503657341
5,50,0.010085573326796294,0.013959905132651329,0.02340265680104494,0.028779257088899612,0.05447584837675094,0.06335774064064026
5,60,0.0108972592279315,0.012190582230687141,0.025399373658001424,0.02870701067149639,0.059237637743353846,0.06724534183740616
6,10,0.010444165828327337,0.017378520220518112,0.026192213253428537,0.03292248398065567,0.06293765486528476,0.06919172406196594
6,20,0.01160169681534171,0.012663046829402447,0.02698435392230749,0.028826767578721046,0.06287721917033195,0.0665421113371849
6,30,0.011019983515143394,0.013590448535978794,0.0250070970505476,0.030247878283262253,0.057643693313002585,0.06911521404981613
6,40,0.011289292853325606,0.011017379350960255,0.02733048554509878,0.028864677995443344,0.06475993357598782,0.07050837576389313
6,50,0.010533687099814415,0.011194061487913132,0.026194050349295138,0.029599672183394432,0.06273489557206631,0.0725460946559906
6,60,0.010621840413659812,0.011418098583817482,0.027595536969602107,0.028928719460964203,0.0672008279711008,0.06978683173656464
7,10,0.010017464946334561,0.011588059365749359,0.025618915135661762,0.02948560193181038,0.06202229702224334,0.07124653458595276
7,20,0.010842300951480865,0.01688752882182598,0.027154711447656153,0.03371139615774155,0.06521699875593186,0.07296708226203918
7,30,0.010913974791765212,0.011037157848477364,0.02817406114190817,0.030156057327985764,0.06844759359955788,0.07476682215929031
7,40,0.01048277784138918,0.01129922829568386,0.0274226114153862,0.03052700124680996,0.06694888696074486,0.07539179921150208
7,50,0.010810850281268358,0.01123606413602829,0.02862213272601366,0.029086919501423836,0.07018178850412368,0.07073891162872314
7,60,0.009793613571673632,0.020173329859972,0.026352388598024846,0.03552813455462456,0.06498952955007553,0.07135601341724396
8,10,0.010414063464850187,0.01326250284910202,0.027025659413387377,0.032066959887742996,0.06578604845951001,0.07594402134418488
8,20,0.010041284188628197,0.010726221837103367,0.027442520670592784,0.03061874583363533,0.0680454034358263,0.07703462988138199
8,30,0.009655441157519817,0.014167404733598232,0.02849288787692785,0.03343789279460907,0.0724469281733036,0.07840235531330109
8,40,0.011317984946072102,0.010184941813349724,0.02959093414247036,0.03017457015812397,0.07222781479358673,0.07681703567504883
8,50,0.011555614229291678,0.01834806613624096,0.029749693349003792,0.03520560637116432,0.07220254391431809,0.07453986257314682
8,60,0.01038681883364916,0.012539229355752468,0.027976256795227528,0.03048931248486042,0.06901827715337276,0.07237283885478973
9,10,0.010001437893758217,0.011316664516925812,0.027843890090783436,0.029757559299468994,0.06947627539436023,0.07278631627559662
9,20,0.010518118739128113,0.015008606016635895,0.028442859649658203,0.033269818872213364,0.070267254114151,0.07587932050228119
9,30,0.011947769951075316,0.010879335924983025,0.02987165730446577,0.02921721152961254,0.07169405743479729,0.07200558483600616
9,40,0.010773620940744877,0.011365595273673534,0.026404853723943234,0.029963327571749687,0.06287772916257381,0.07335803657770157
9,50,0.009879403654485941,0.014653170481324196,0.02635884266346693,0.03168352320790291,0.0648108646273613,0.07142101228237152
9,60,0.00959234293550253,0.014031020924448967,0.02791442945599556,0.03421571105718613,0.07066596411168576,0.08131331205368042
10,10,0.011704241158440709,0.013223348185420036,0.02874396958698829,0.03007052093744278,0.06850333418697119,0.06938058882951736
10,20,0.010136045794934035,0.012878447771072388,0.026055514998733997,0.03052103891968727,0.06320093981921673,0.07168707996606827
10,30,0.010583890974521637,0.013658391311764717,0.02658574189990759,0.030875133350491524,0.06392339207231998,0.07104752957820892
10,40,0.010604801960289479,0.011024240404367447,0.027072256058454515,0.028722036629915237,0.06549631506204605,0.07001689076423645
10,50,0.010446703247725963,0.011026345193386078,0.02663091029971838,0.030089104548096657,0.06439405754208564,0.07456887513399124
10,60,0.01047145901247859,0.011372441425919533,0.027643262036144735,0.0321492925286293,0.06771079897880554,0.08062860369682312
11,10,0.01022302204122146,0.011241238564252853,0.02795987358937661,0.03016156330704689,0.06934585981070995,0.07430899143218994
11,20,0.010479014180600644,0.011132948100566864,0.028490073420107363,0.03069409355521202,0.07051587477326393,0.07633676379919052
11,30,0.010348684154450893,0.01108628697693348,0.028671414032578467,0.030240334570407867,0.0714244470000267,0.07493311166763306
11,40,0.010308935213834048,0.011738678440451622,0.028270621597766877,0.032877977937459946,0.07018122151494026,0.08220300823450089
11,50,0.010623496398329735,0.011047585867345333,0.029648075811564922,0.032760705798864365,0.07403875812888146,0.0834246501326561
11,60,0.010142841935157776,0.012509622611105442,0.02939457315951586,0.03309240937232971,0.07431527748703956,0.08111891150474548
12,10,0.010222302361701926,0.010990915820002556,0.02976654361312588,0.03368169814348221,0.07536976970732212,0.08662685751914978
12,20,0.009985487442463636,0.010856850072741508,0.029490602388978004,0.032334256917238235,0.07500253319740295,0.08244819939136505
12,30,0.010055985301733017,0.016090214252471924,0.0292312016710639,0.03701062127947807,0.0739733710885048,0.08582490682601929
12,40,0.010967918578535319,0.012787343934178352,0.031208780221641065,0.03305838629603386,0.07843745425343514,0.08035748451948166
12,50,0.009802260436117649,0.013387962244451046,0.02872683070600033,0.03364670276641846,0.07288415953516961,0.08091709762811661
12,60,0.010810725204646588,0.01504010334610939,0.03101446982473135,0.036764953285455704,0.07815653830766678,0.08745627105236053
13,10,0.012327035035317143,0.015472854487597942,0.03257734049111605,0.03647235035896301,0.0798280518501997,0.08547117561101913
13,20,0.012686798628419638,0.013682079501450062,0.030680609308183192,0.03250133991241455,0.07266616374254227,0.07641294598579407
13,30,0.009494595602154732,0.015729572623968124,0.025576357543468476,0.03339894115924835,0.063100466132164,0.07462745904922485
